"Company","Address","Confidence","Latitude","Longitude"
"bright river b.v.","Netherlands","1","52.25","5.75"
"drn b.v.","Netherlands","1","52.25","5.75"
"econvert water & energy b.v.","Netherlands","1","52.25","5.75"
"eijkelkamp soil & water b.v.","Netherlands","1","52.25","5.75"
"flying fish water mobility b.v.","Netherlands","1","52.25","5.75"
"gorman-rupp europe b.v.","Netherlands","1","52.25","5.75"
"hoogheemraadschap hollands noorderkwartier","Hoogheemraadschap Hollands Noorderkwartier, North Holland, Netherlands","1","52.7923111","4.9980233"
"lenntech b.v.","Netherlands","1","52.25","5.75"
"nalco europe b.v.","Netherlands","1","52.25","5.75"
"nemoto (europe) b.v.","Netherlands","1","52.25","5.75"
"pentair water process technology b.v.","Netherlands","1","52.25","5.75"
"puragen b.v.","Netherlands","1","52.25","5.75"
"pwnt holding b.v.","Netherlands","1","52.25","5.75"
"seine (holland) b.v.","Netherlands","1","52.25","5.75"
"stichting akvo","Netherlands","1","52.25","5.75"
"stichting aqua for all","Netherlands","1","52.25","5.75"
"stichting deltares","Netherlands","1","52.25","5.75"
"stichting irc, international water and sanitation centre","Centre, Arnhem, Netherlands","9","51.98139","5.90773"
"stichting wetsus","Netherlands","1","52.25","5.75"
"veolia water technologies techno center netherlands b.v.","Netherlands","1","52.25","5.75"
"vitreq b.v.","Netherlands","1","52.25","5.75"
"wwt netherlands b.v.","Netherlands","1","52.25","5.75"
"floating market b.v.","Netherlands","1","52.25","5.75"
"bam energie & water west b.v.","Netherlands","1","52.25","5.75"
"kwr water b.v.","Netherlands","1","52.25","5.75"
"n.v. pwn waterleidingbedrijf noord-holland","North Holland, Netherlands","1","52.58333","4.91667"
"vitens n.v.","Vitens N.V., Reactorweg, 3542 AD Utrecht, Netherlands","10","52.1066378","5.0623047"
