"description","category","website","tags","id","name","kvk"
"water and wastewater management services","mi","https://www.brightriver.com/","System.Object[]","1470","bright river b.v.","57217602"
"drn b.v. is a dutch company that provides solutions and products related to water treatment and management.","mi","https://www.drnbv.nl/","System.Object[]","2771","drn b.v.","50791125"
"econvert water & energy b.v. is a company that specializes in the conversion of water and energy systems, likely providing solutions for efficient use and management of these resources.","mi","https://www.econvertwaterandenergy.com/","System.Object[]","2934","econvert water & energy b.v.","54029929"
"eijkelkamp soil & water b.v. provides laboratory and field equipment for soil and water analysis, as well as consultancy services for environmental projects.","mi","https://www.eijkelkamp.com/","System.Object[]","2981","eijkelkamp soil & water b.v.","09043479"
"flying fish water mobility b.v. appears to be a company that provides products or services related to water mobility, possibly watercraft or related equipment.","mi","https://www.flyingfishwatermobility.com/","System.Object[]","3622","flying fish water mobility b.v.","76707563"
"gorman-rupp europe b.v. specializes in the distribution of water and wastewater equipment, including pumps and related products.","mi","https://www.gormaneurope.nl/","System.Object[]","4049","gorman-rupp europe b.v.","01054500"
"hoogheemraadschap hollands noorderkwartier is a dutch water authority responsible for the management and maintenance of waterways, dunes, and polders in the northern part of holland.","mi","https://www.hhnk.nl/","System.Object[]","4467","hoogheemraadschap hollands noorderkwartier","37161516"
"lenntech b.v. is a dutch company that specializes in water treatment and analysis products, offering solutions for various industries such as food, beverage, and pharmaceuticals.","mi","https://www.lenntech.com/","System.Object[]","5684","lenntech b.v.","27289106"
"nalco europe b.v. specializes in providing water treatment and process management solutions to various industries.","mi","https://www.europe.nalco.com/","System.Object[]","6597","nalco europe b.v.","28057490"
"nemoto (europe) b.v. specializes in providing solutions and products related to water treatment and purification systems.","mi","https://www.nemoto.com/","System.Object[]","6675","nemoto (europe) b.v.","90859499"
"pentair water process technology b.v. appears to offer solutions for water treatment and processing.","mi","https://www.pentairwater.com/en/about-us/locations/netherlands","System.Object[]","7420","pentair water process technology b.v.","06059584"
"puragen b.v. specializes in water treatment and purification systems.","mi","https://www.puragen.nl/","System.Object[]","7777","puragen b.v.","71183787"
"pwnt holding b.v. appears to be a company focused on water management and treatment services.","mi","https://www.pwnt.nl/","System.Object[]","7791","pwnt holding b.v.","62905910"
"i could not find information on this company, but based on the name and location (netherlands), it's possible that seine (holland) b.v. is involved in water management or transportation services related to rivers or canals.","mi","empty","System.Object[]","8498","seine (holland) b.v.","51537435"
"stichting akvo is a dutch non-profit foundation focused on improving water management and making it more transparent through digital tools and data-driven insights.","mi","https://akvo.org/","System.Object[]","9107","stichting akvo","27327087"
"stichting aqua for all is a non-profit organization that focuses on improving access to safe and affordable water, sanitation, and hygiene (wash) services in developing countries.","mi","https://www.aquaforal.org/","System.Object[]","9114","stichting aqua for all","27248417"
"deltares is an independent institute for applied research on water and subsurface related topics. it develops and applies scientific models, software, and systems to understand complex issues.","mi","https://www.deltares.nl/","System.Object[]","9146","stichting deltares","41146461"
"stichting irc is an international centre focused on water and sanitation issues, providing knowledge and services to improve access to these essential resources.","mi","https://www.waterandsanitation.org/","System.Object[]","9227","stichting irc, international water and sanitation centre","41151952"
"stichting wetsus is a dutch research organization focused on water and society. they conduct research on various topics related to water, including its management, governance, and social implications.","mi","https://www.wetsus.nl/","System.Object[]","9355","stichting wetsus","01094160"
"veolia water technologies techno center netherlands b.v. specializes in providing solutions and services for the treatment of drinking water, wastewater, and industrial process waters.","mi","https://www.veoliawatertechnologies.com/company/locations/netherlands/","System.Object[]","10584","veolia water technologies techno center netherlands b.v.","14624792"
"vitreq b.v. is a company involved in water management and purification solutions.","mi","https://www.vitreq.nl/","System.Object[]","10728","vitreq b.v.","60972084"
"water treatment and purification systems","mi","https://www.wwtnetherlands.com/","System.Object[]","11066","wwt netherlands b.v.","54053676"
"floating market b.v. appears to be a company involved in waterborne tourism and leisure activities.","cgr","https://www.floatingmarket.nl/","System.Object[]","3603","floating market b.v.","52265528"
"bam energie & water west b.v. is a dutch company that provides services related to energy and water, such as project development, construction, and maintenance for various types of infrastructure.","eu","","System.Object[]","1018","bam energie & water west b.v.","34049433"
"kwr water b.v. specializes in water research and consultancy services for governments and companies worldwide.","eu","https://www.kwrwater.nl/","System.Object[]","5577","kwr water b.v.","27279653"
"n.v. pwn waterleidingbedrijf noord-holland is a dutch utility company that provides drinking water to the north of holland.","eu","https://www.pwn.nl/","System.Object[]","6589","n.v. pwn waterleidingbedrijf noord-holland","34072007"
"vitens is a dutch water company that provides drinking water and wastewater services to households and businesses.","eu","https://www.vitens.nl/","System.Object[]","10723","vitens n.v.","05069581"
